unique_id,alias,checksum,materialization,tags,meta,owner,database_name,schema_name,depends_on_macros,depends_on_nodes,description,name,package_name,original_path,path,patch_path,generated_at,metadata_hash
model.elementary.dbt_metrics,dbt_metrics,86136f6682874137b3f9277098edf419c918548c440e1cd03c29f930d13d6dca,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_metrics_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_metrics""]",[],"Metadata about metrics in the project, including configuration and properties from the dbt graph. Each row contains information about a single metric. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_metrics,elementary,models\edr\dbt_artifacts\dbt_metrics.sql,edr\dbt_artifacts\dbt_metrics.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,a2b6426017ef8a3514acb02fdba2bc44
model.elementary.dbt_models,dbt_models,3b137ff6fc5007c98c2cce8c57010d5a8386ed4f9d217b08506e9106ab9168fd,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_models_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_models""]",[],"Metadata about models in the project, including configuration and properties from the dbt graph. Each row contains information about a single model. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_models,elementary,models\edr\dbt_artifacts\dbt_models.sql,edr\dbt_artifacts\dbt_models.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,45d79c1966a899e12adf9c75f0af3564
model.elementary.model_run_results,model_run_results,99fba47e42516fbdc31e2546f687e3f780f21eaa5ac303e1ed22d23262ac5ec9,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.edr_time_trunc""]","[""model.elementary.dbt_models"", ""model.elementary.dbt_run_results""]","Run results of dbt models, enriched with models metadata. Each row is the result of a single model. This is a view that joins data from `dbt_run_results` and `dbt_models`.
",model_run_results,elementary,models\edr\run_results\model_run_results.sql,edr\run_results\model_run_results.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,7dd80f7f7c48983103e2a1511b413f6d
model.elementary.dbt_run_results,dbt_run_results,9b2317042e53c953bc3839ef18c3e197d2c347ece4d5968731093dd324b349c5,incremental,[],"{""deprecated_columns"": [{""name"": ""compiled_sql"", ""data_type"": ""string"", ""description"": ""The compiled SQL executed against the database.""}], ""dedup_by_column"": ""model_execution_id"", ""timestamp_column"": ""created_at"", ""prev_timestamp_column"": ""generated_at""}",[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_run_results_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type""]",[],"Run results of dbt invocations, inserted at the end of each invocation. Each row is the invocation result of a single resource (model, test, snapshot, etc). New data is loaded to this model on an on-run-end hook named 'elementary.upload_run_results' from each invocation that produces a result object. This is an incremental model.
",dbt_run_results,elementary,models\edr\dbt_artifacts\dbt_run_results.sql,edr\dbt_artifacts\dbt_run_results.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,3c89cb1455663bbaec32a8d0905580bb
model.elementary.dbt_seeds,dbt_seeds,e768cbfb8ca753297d627bc51d661b4d4278e48650f9479d6a64431cb291a551,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_seeds_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_seeds""]",[],"",dbt_seeds,elementary,models\edr\dbt_artifacts\dbt_seeds.sql,edr\dbt_artifacts\dbt_seeds.sql,,2024-03-08 10:52:44,fcff5a912bbba5295f87f5b970035032
model.elementary.dbt_snapshots,dbt_snapshots,84129810bfd9a5181f3d1552ba85143966cd16d64b9fc9169c1b089eab0c6ac2,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_models_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_snapshots""]",[],"Metadata about snapshots in the project, including configuration and properties from the dbt graph. Each row contains information about a single snapshot. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_snapshots,elementary,models\edr\dbt_artifacts\dbt_snapshots.sql,edr\dbt_artifacts\dbt_snapshots.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,3359711b4584a599dfdd16f6593e2ccc
model.elementary.dbt_sources,dbt_sources,1abd5241398ed596cf8fcf85b84a45835ae0a3e67069f00d7b519757b009cbb3,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_sources_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_sources""]",[],"Metadata about sources in the project, including configuration and properties from the dbt graph. Each row contains information about a single source. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_sources,elementary,models\edr\dbt_artifacts\dbt_sources.sql,edr\dbt_artifacts\dbt_sources.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,319e024d7543b2d35e9a42c5bd8202c5
model.elementary.dbt_tests,dbt_tests,e3e387b5d7f7df8bdfdc358f4458dd69b8311803d989c7a0a571314bb1f1dfc2,incremental,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var"", ""macro.elementary.get_dbt_tests_empty_table_query"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type"", ""macro.elementary.upload_dbt_tests""]",[],"Metadata about tests in the project, including configuration and properties from the dbt graph. Each row contains information about a single test. Data is loaded every time this model is executed. It is recommended to execute the model every time a change is merged to the project.
",dbt_tests,elementary,models\edr\dbt_artifacts\dbt_tests.sql,edr\dbt_artifacts\dbt_tests.sql,elementary://models\dbt_artifacts.yml,2024-03-08 10:52:44,54801003d8ffc40f75f8fa4b904121ca
model.elementary.enriched_columns,enriched_columns,de13843dd09be742938fe58c752b0b44350377ea6202d8ecec71096ceb0b9a8b,view,[],{},[],postgres,transformed_elementary,[],"[""model.elementary.dbt_columns"", ""model.elementary.information_schema_columns""]","",enriched_columns,elementary,models\edr\dbt_artifacts\enriched_columns.sql,edr\dbt_artifacts\enriched_columns.sql,,2024-03-08 10:52:44,c416f855518bbac40854f6480c81c69c
model.elementary.information_schema_columns,information_schema_columns,6490e0d9234e48632239108ba3211607d83aa25720bdd3124699b360fe6745b6,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_information_schema_columns_materialized"", ""macro.elementary.get_information_schema_columns_query""]","[""model.elementary.dbt_models"", ""model.elementary.dbt_seeds"", ""model.elementary.dbt_snapshots"", ""model.elementary.dbt_sources""]","",information_schema_columns,elementary,models\edr\dbt_artifacts\information_schema_columns.sql,edr\dbt_artifacts\information_schema_columns.sql,,2024-03-08 10:52:44,bfaab5aa4cc5de3f5a478b51abfcf42b
model.elementary.dbt_source_freshness_results,dbt_source_freshness_results,fb063c8eb524356395464854c25d33038742ce2e0c3d4b3936ce8919a0ee27d6,incremental,[],"{""timestamp_column"": ""created_at"", ""prev_timestamp_column"": ""generated_at""}",[],postgres,transformed_elementary,"[""macro.elementary.empty_dbt_source_freshness_results"", ""macro.elementary.get_config_var"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type""]",[],"",dbt_source_freshness_results,elementary,models\edr\run_results\dbt_source_freshness_results.sql,edr\run_results\dbt_source_freshness_results.sql,,2024-03-08 10:52:44,a87591724f6940136f04a138e4af8c9c
model.elementary.elementary_test_results,elementary_test_results,df74ce864e711c45b8f20af4d3246257f95ef0735e17d83dce220bdd80bde93a,incremental,[],"{""timestamp_column"": ""created_at"", ""prev_timestamp_column"": ""detected_at""}",[],postgres,transformed_elementary,"[""macro.elementary.empty_elementary_test_results"", ""macro.elementary.get_config_var"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type""]",[],"Run results of all dbt tests, with fields and metadata needed to produce the Elementary report UI. Each row is the result of a single test, including native dbt tests, packages tests and elementary tests. New data is loaded to this model on an on-run-end hook named `elementary.handle_tests_results`.
",elementary_test_results,elementary,models\edr\run_results\elementary_test_results.sql,edr\run_results\elementary_test_results.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,e6bcba9e5c57a08a7ff051123eecec03
model.elementary.job_run_results,job_run_results,70fa0f75184f074237575d1146a8caf3048d0d0300a5da5013b7a88f137bc810,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.edr_cast_as_timestamp"", ""macro.elementary.timediff""]","[""model.elementary.dbt_invocations""]","Run results of dbt invocations, enriched with jobs metadata. Each row is the result of a single job. This is a view on `dbt_invocations`.",job_run_results,elementary,models\edr\run_results\job_run_results.sql,edr\run_results\job_run_results.sql,elementary://models\run_results.yml,2024-03-08 10:52:44,34b67a7b46ad7259aa50dca4e110d154
model.elementary.test_result_rows,test_result_rows,60f29c6ec225f876c714075d2ffd1b81198268ee2eb2e5138b4c3a8b94604de4,incremental,[],"{""timestamp_column"": ""created_at"", ""prev_timestamp_column"": ""detected_at""}",[],postgres,transformed_elementary,"[""macro.elementary.backfill_result_rows"", ""macro.elementary.empty_table"", ""macro.elementary.get_config_var"", ""macro.elementary.get_default_incremental_strategy"", ""macro.elementary.get_default_table_type""]","[""model.elementary.elementary_test_results""]","",test_result_rows,elementary,models\edr\run_results\test_result_rows.sql,edr\run_results\test_result_rows.sql,,2024-03-08 10:52:44,07f75ccf342623fb9b26dc034bba147a
model.elementary.metadata,metadata,7d06c726499b330d51c340d2dc2774ac95f958fd6824c09711b3881b39b76a84,table,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_elementary_package_version""]",[],"",metadata,elementary,models\edr\system\metadata.sql,edr\system\metadata.sql,,2024-03-08 10:52:44,c7c5ea7aa078cfd8876f2837a30f68c0
model.elementary.monitors_runs,monitors_runs,3720e206635d4f2f95c193835727b0d533ec1a5fa56e5dec79331418d07e934f,view,[],{},[],postgres,transformed_elementary,[],"[""model.elementary.data_monitoring_metrics""]","This is a view on `data_monitoring_metrics` that is used to determine when a specific anomaly detection test was last executed. Each anomaly detection test queries this view to decide on a start time for collecting metrics.
",monitors_runs,elementary,models\edr\system\monitors_runs.sql,edr\system\monitors_runs.sql,elementary://models\elementary_tests.yml,2024-03-08 10:52:44,d615dd36ed53584dc15073f79842c778
model.view_selection_tool.int_include_monitoring_id,int_include_monitoring_id,41085d89a04472ad7e8c811d35184a583b4d1584a9a86efd51d3167d4263987e,view,[],{},[],postgres,transformed_view_selection_tool,"[""macro.dbt.concat""]","[""model.view_selection_tool.int_only_materialized_models""]","",int_include_monitoring_id,view_selection_tool,models\intermediate\int_include_monitoring_id.sql,intermediate\int_include_monitoring_id.sql,,2024-03-08 10:52:44,7ad33af7d05a915c7401453cc63931d8
model.view_selection_tool.int_join_with_run_results,int_join_with_run_results,86c7a9f70b7c3bbe28f35efdbe76435993d984e34d9359dd0c3633537b21566b,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_keep_models_relevant_package"", ""model.view_selection_tool.stg_dbt_run_results""]","",int_join_with_run_results,view_selection_tool,models\intermediate\int_join_with_run_results.sql,intermediate\int_join_with_run_results.sql,,2024-03-08 10:52:44,8218f4ac76325d99bc84eadd83dc6508
model.view_selection_tool.int_keep_models_relevant_package,int_keep_models_relevant_package,63620082f227c15239969e793f7500d4b1a61f5ea704f5c3a3a4d8b97e721b45,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.stg_dbt_models""]","",int_keep_models_relevant_package,view_selection_tool,models\intermediate\int_keep_models_relevant_package.sql,intermediate\int_keep_models_relevant_package.sql,,2024-03-08 10:52:44,77a1e8e84eb95666fe73a2a897d3bd42
model.view_selection_tool.int_maintenance_fractions,int_maintenance_fractions,c32081cad461c54ec23a338179482d6060aa0e0fe0f374aa81536e8aceb2245d,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_include_monitoring_id"", ""model.view_selection_tool.stg_data_monitoring_metrics""]","",int_maintenance_fractions,view_selection_tool,models\intermediate\int_maintenance_fractions.sql,intermediate\int_maintenance_fractions.sql,,2024-03-08 10:52:44,d6dedebb822f87bea1bbe07e1256de27
model.view_selection_tool.int_only_materialized_models,int_only_materialized_models,29fc5c0604b2b789a3b6f1cfd08d40af8acaf8016efc7b1f42524dde88effe04,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_join_with_run_results""]","",int_only_materialized_models,view_selection_tool,models\intermediate\int_only_materialized_models.sql,intermediate\int_only_materialized_models.sql,,2024-03-08 10:52:44,8163ed2e3c15a799cb877c80267473c6
model.view_selection_tool.avg_maintenance_fractions,avg_maintenance_fractions,4bc6ca71e96871af6d7a8fdac51b7a406b66ada2f0cb0c7cae35613dc26befe2,table,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_maintenance_fractions""]","",avg_maintenance_fractions,view_selection_tool,models\marts\avg_maintenance_fractions.sql,marts\avg_maintenance_fractions.sql,,2024-03-08 10:52:44,359d2c97f024ea7456446f4b1ae0ab38
model.view_selection_tool.destination_nodes,destination_nodes,eb556ead5a2b5c5e2382920e6c10d01564b013560ac0af96ccdf84d4a4cc08fb,table,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_keep_models_relevant_package"", ""model.view_selection_tool.int_referenced_models""]","",destination_nodes,view_selection_tool,models\marts\destination_nodes.sql,marts\destination_nodes.sql,,2024-03-08 10:52:44,8cc8c6046ef7b1d87c1ba630f212eb7b
model.view_selection_tool.model_dependencies,model_dependencies,4df15b2298f6e250cd0321876b6e658d44577ef255868a4f68cfc59af2962c4b,table,[],{},[],postgres,transformed_view_selection_tool,"[""macro.dbt.concat""]","[""model.view_selection_tool.int_keep_models_relevant_package""]","",model_dependencies,view_selection_tool,models\marts\model_dependencies.sql,marts\model_dependencies.sql,,2024-03-08 10:52:44,b722c41a8502ce347711d134865340bf
model.view_selection_tool.stg_data_monitoring_metrics,stg_data_monitoring_metrics,1be951f18b8a6c328e3b677df03362d56614704de754615552b42ee57a7164e1,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""source.view_selection_tool.elementary_src.data_monitoring_metrics""]","",stg_data_monitoring_metrics,view_selection_tool,models\staging\stg_data_monitoring_metrics.sql,staging\stg_data_monitoring_metrics.sql,,2024-03-08 10:52:44,d61af2062353601edd981f19c977497c
model.view_selection_tool.stg_dbt_invocations,stg_dbt_invocations,aa047c53cfd979e3f86cb4193157ab6a954b7b6245e94cadc9fbb641adf8b0f7,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""source.view_selection_tool.elementary_src.dbt_invocations""]","",stg_dbt_invocations,view_selection_tool,models\staging\stg_dbt_invocations.sql,staging\stg_dbt_invocations.sql,,2024-03-08 10:52:44,63a8849f3f54a4c07f4d49dec4f7ef60
model.view_selection_tool.stg_dbt_models,stg_dbt_models,ebca9336c6a6cb8caca162287cc929f7f1c763bb2b389f7dd1965a9344148e9a,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""source.view_selection_tool.elementary_src.dbt_models""]","",stg_dbt_models,view_selection_tool,models\staging\stg_dbt_models.sql,staging\stg_dbt_models.sql,,2024-03-08 10:52:44,0432e213e7bdf1d0e0a6dd7e91149399
model.view_selection_tool.stg_dbt_run_results,stg_dbt_run_results,a6179734aadbbee34f731985d5b9e252c54906d93ba68f1e65666709d6f762be,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""source.view_selection_tool.elementary_src.dbt_run_results""]","",stg_dbt_run_results,view_selection_tool,models\staging\stg_dbt_run_results.sql,staging\stg_dbt_run_results.sql,,2024-03-08 10:52:44,d8926ed08533c36dbf1714d2969cc955
